"","Source","Stakeholder","Response","assignment","sentiment"
"1356","19th April: techUK session","All","1) Patient centred focusing on patient outcomes","Personalised care and inclusive service design",0
"1357","19th April: techUK session","All","2)  Accessible to all ","Personalised care and inclusive service design",0
"1358","19th April: techUK session","All","3) Not a burden to clinicians or patients","Personalised care and inclusive service design",0.341
"1359","19th April: techUK session","All","Staff and patients who are empowered by the NHS to make informed health decisions/decisions about health services they want or need. Approaches cognizant of the different needs people have to communicate and interact with health services","Personalised care and inclusive service design",0.077
"1360","19th April: techUK session","All","World leading delivery of care in all settings","Personalised care and inclusive service design",0.494
"1361","19th April: techUK session","All","Transformed Care will have provided the multiple care settings, e.g.,  primary, secondary, community, social care etc to  facilitate  the continuation of  a patients care. ","Personalised care and inclusive service design",0.915
"1362","19th April: techUK session","All","2) I should be able to access any health and care service as seamlessly as any consumer service, via any one of several interfaces, and my request finds its way to the ""right"" provider","Personalised care and inclusive service design",0.494
"1363","19th April: techUK session","All","Focus on the patient experience / gaps between the service so that patients don't feel abandoned / forgotten - the entire patient journey, not just the points where they are connecting with clinicians","Personalised care and inclusive service design",0.148
"1364","19th April: techUK session","All","Delivering primary care through a mixed model of face to face and remote consultation (Video and Telephone)","Personalised care and inclusive service design",0.494
"1365","19th April: techUK session","All","Automatic routing of patients through system - automated appointments etc","Personalised care and inclusive service design",0
"1366","19th April: techUK session","All","Whole system appointments and scheduling linked directly to patient need / journey / pathway to allow time effective use of resource to provide citizen service.","Personalised care and inclusive service design",0.612
"1367","19th April: techUK session","All","Joined up and holistic patient journey that is managed, look at examples from Customer Relationship Management","Personalised care and inclusive service design",0
"1368","19th April: techUK session","All","Self-management of conditions is key and technology can support that","Personalised care and inclusive service design",0.402
"1369","19th April: techUK session","All","There is balance between user control and appropriate guidance and support to make the decision that’s right for the user.","Personalised care and inclusive service design",0.402
"1370","19th April: techUK session","All","Coordinated health provision. One lead clinician handles comorbidities or multimorbidities for a patient, rather than several clinician all leading on a different illness/condition.","Personalised care and inclusive service design",0
"1371","19th April: techUK session","All","Patient education around data is key but difficult, they need to understand and trust","Personalised care and inclusive service design",0.296
"1372","19th April: techUK session","All","As users, we already track and monitor our own data through wearables - how do we link that up in the future","Personalised care and inclusive service design",0
"1373","19th April: techUK session","All","Making it easy and equitable to access and navigate NHS services - digital inclusion / health inequalities / levelling up is very important","Personalised care and inclusive service design",0.611
"1374","19th April: techUK session","All","Easier for people to access, understand and navigate services","Personalised care and inclusive service design",0.421
"1375","19th April: techUK session","All","Inclusivity and engagement for patients - ensuring that there are services to enable people who are otherwise digitally excluded to access services","Personalised care and inclusive service design",0.402
"1376","19th April: techUK session","All","- Understanding of how different patient groups interact with services ","Personalised care and inclusive service design",0
"1377","19th April: techUK session","All","#NAME?","Personalised care and inclusive service design",0
"1378","19th April: techUK session","All","Clear upstanding of the requirements before adding in tech","Personalised care and inclusive service design",0.382
"1379","19th April: techUK session","All","Extensive user testing with people who identify as challenged by technology","Personalised care and inclusive service design",-0.103
"1380","19th April: techUK session","All","Wearables and homecare monitoring will be vital","Personalised care and inclusive service design",0.296
"1381","19th April: techUK session","All","patients able to curate their own care based on their needs","Personalised care and inclusive service design",0.494
"1382","19th April: techUK session","All","End-to-end pathway redesign based on user experience","Personalised care and inclusive service design",0
"1383","19th April: techUK session","All","User-centred platforms that are easy to use and accessible","Personalised care and inclusive service design",0.44
"1384","19th April: techUK session","All","Patient and NHS education and comms","Personalised care and inclusive service design",0
"1385","19th April: techUK session","All","Consideration on wider inequalities outside H&SC - for example, internet and mobile connectivity imperative to enable equal access to Health Tech","Personalised care and inclusive service design",0
"1386","19th April: techUK session","All","1) Resources that help patients integrate into the transformed care system seamlessly.  Not excluding vulnerable patients (digital poverty, the elderly etc) ","Personalised care and inclusive service design",0.505
"1387","19th April: techUK session","All","Broaden the scope of health and social care to be a genuine reflection of the society a citizen participates in with greater integration of more environmental and other org technilogoes","Personalised care and inclusive service design",0.691
"1388","19th April: techUK session","All","Single ""front door"" Access Solution/App for Patients and Citizens","Personalised care and inclusive service design",0
"1389","19th April: techUK session","All","Multi channel access and appropriate ability to delegate visibility of my data how i wish to support my health and care services","Personalised care and inclusive service design",0.872
"1390","19th April: techUK session","All","Enhanced virtual ward setup and self monitoring capability ","Personalised care and inclusive service design",0
"1391","19th April: techUK session","All","Training to enable all users and patients regardless of their digital literacy","Personalised care and inclusive service design",0
"1392","19th April: techUK session","All","2) Intelligent service routing that reduces burden on patient to already know the answer to their question","Personalised care and inclusive service design",0.026
"1393","19th April: techUK session","All","2) Platforms that democratise access","Personalised care and inclusive service design",0
"1394","19th April: techUK session","All","Changes to the way primary care is delivered, and updated technology and systems to support greater use of remote consultation. ","Personalised care and inclusive service design",0.813
"1395","19th April: techUK session","All","Care pathways - lots of points that can be digital","Personalised care and inclusive service design",0.494
"1396","Q1 - 31 March - Social Care Engagement Session","Social Care Workforce","We need to acknowledge that both systems want to achieve different outcomes and not try to amalgamate these, there are some of the softer elements that social care looks at around the community.","Personalised care and inclusive service design",0.542
"1397","Q1 - 31 March - Social Care Engagement Session","Social Care Workforce","Social care should be seen as a safety net - there are digital solutions for self help, rather than passive users.","Personalised care and inclusive service design",0.881
"1398","Q1 - 31 March - Social Care Engagement Session","Social Care Workforce","It’s about wrap-around services and ensuring people can have the right guidance - it isn’t always down to health and care services to deliver those services. Many people are happy to pay for people but don’t know where to find the information - example of good practice from Surrey District Council. We need to make sure we’re evaluating pieces of work across what good looks like.","Personalised care and inclusive service design",0.957
"1399","Q1 - 31 March - Social Care Engagement Session","Social Care Workforce","We could take something like the perhaps taking something like Health Equalities Framework - anyone can use this as a self-assessment tool to see all the different impacts of different services on a person's life and redress any negative impacts by collaborating services, rather than separately delivering a service and not knowing that it is actually undermining another service's input. This could also be digitised.","Personalised care and inclusive service design",-0.296
"1400","Q1 - 31 March - Social Care Engagement Session","Social Care Workforce","You could pilot some personal budgets to pay for data. It’s really important we use the right language in the DHCP - i.e. not using ‘patients’, ensuring we recognise unpaid carers. Use of the word ‘people’ also masks the diversity of different groups.","Personalised care and inclusive service design",-0.031
"1401","Q1 - 7 April - Social Care Engagement Session","Social Care Workforce","opportunity for technology to support living fulfilling and normal lives, if successful - should be enthusiastically embraced rather than done to/forced","Personalised care and inclusive service design",0.917
"1402","Q1 - 7 April - Social Care Engagement Session","Social Care Workforce","We need a shared view on what measurements we are collecting and whether we are collecting for the system or for people. Is the use of technology about reducing tasks, or improving quality of life. The programme already feels about older people, there needs to be a narrative and a story for all ages.","Personalised care and inclusive service design",0.637
"1403","Q1 - 7 April - Social Care Engagement Session","Social Care Workforce","We need to ensure technology is in the background, supporting people and networks to be connected but also autonomous and to make sure people can choose to make use of their everyday technology to contribute to their care and support, rather than leaving it to one side and introducing new gadgets without being clear how it fits into their lives. And robust support when some of the technology fails or power goes out and not expecting people to plug everything in or change batteries etc","Personalised care and inclusive service design",0.929
"1404","Q1 - 7 April - Social Care Engagement Session","Social Care Workforce","although it is not yet at the level it should be at all, i would hope that by 2025 our technology enabled care provision will be equitable across all provision, whether through state funded support or people purchasing themselves and will support anytime, anywhere based on personalised needs and aspirations, and not such a significant focus on keeping people safe at home (but not supporting people to access their communities)","Personalised care and inclusive service design",0.51
"1405","Q1 - 7 April - Social Care Engagement Session","Social Care Workforce","There is also the importance of the advice and information services, ensuring we’re communicating out through local communities who may be unaware of digital tools to make sure they are digital ready","Personalised care and inclusive service design",0.765
"1406","Q1 - 7 April - Social Care Engagement Session","Social Care Workforce","big question on NHS App being front-end for adult social care versus role of local government and housing, education, etc. as Emily said, could be a strategic stakeholder discussion all on its own","Personalised care and inclusive service design",0.494
"1407","Q1 - 7 April - Social Care Engagement Session","Social Care Workforce","We also need to address digital exclusion, particularly for people from black minority and ethic communities.","Personalised care and inclusive service design",-0.296
"1408","Q2 - 7 April - Social Care Engagement Session","Social Care Workforce","from a whole system piece, need to think beyond the commissioners, suppliers and end users. Those assessing need (social workers, housing support workers, digital navigators etc) also need to be skilled up around the use of the DHCP to deliver the choice and control we were talking about and person-centred outcomes","Personalised care and inclusive service design",0.402
"1409","Q1 - 14 April - Social Care Engagement Session","Social Care Workforce","technology, particularly for those with lower needs, should be a part of life - it needs to be embraced but not at the expense of people","Personalised care and inclusive service design",-0.153
"1410","Q1 - 14 April - Social Care Engagement Session","Social Care Workforce","this could be a further problem for BAME communities, who are already at a higher risk of digital exclusion.","Personalised care and inclusive service design",-0.718
"1411","Q1 - 14 April - Social Care Engagement Session","Social Care Workforce","there is a need for the care and support narrative to be bent towards people living a good life, with communities as a focus, and thus growing as a nation.","Personalised care and inclusive service design",0.859
"1412","Q2 - 14 April - Social Care Engagement Session","Social Care Workforce","tech not basic, it is quite complicated but what is debilitating is having someone get you up and go to bed at times that you don’t want to, but a tech intervention could help that.","Personalised care and inclusive service design",0.612
"1413","Q3 - 14 April - Social Care Engagement Session","Social Care Workforce","Explore the use of personal budgets for digital and data","Personalised care and inclusive service design",0
"1414","All External workshop form responses","All","Care will be delivered in a way that aims to keep people out of hospital and delivered at home. Communities should have greater access to personal and general health information. Records digitised
 We need to ensure that children and families are included in the development (children are usually left out). 
 Device linkage - we need digital platforms are system agnostic","Personalised care and inclusive service design",0.807
"1415","All External workshop form responses","All","The person will own their care record which will include their care plan, what is important to them. They will own their data and be supported to share this with professionals, health and care providers, and researchers. They will be able to make their own appointments and manage these and will be offered the chance to connect with relevant specialists across the UK.","Personalised care and inclusive service design",0.942
"1416","All External workshop form responses","All","1. More accessible information for people who have accessibility needs or don't speak english as a first language, people with learning difficulties, more flexible access (not just during working hours), standardize the format of e-platforms across the NHS so all GP practices/NHS Trusts have the same online formats/presentation which will be easily accessible for all. Information shared online also needs to be easily understandable, in layman's terms rather than lots of specialist terms and abbreviations. 

","Personalised care and inclusive service design",0.852
"1417","All External workshop form responses","All","care will be organised around a patient’s medical condition and delivered in different/ new care settings. patients will have better access to their clinical records, appointment bookings and health information","Personalised care and inclusive service design",0.852
"1418","All External workshop form responses","All","It will different for patients in that they will have access to data about their care from primary and secondary care organisations in one place - the NHS App. Almost important is that should they present to an ambulance service or A and E anywhere in the UK the treating health professional will also have access to their data.","Personalised care and inclusive service design",0.785
"1419","All External workshop form responses","All","Transformed care will feel easier for patients. They will have access to a single NHS app through which they will be able to see their medical history, make/change GP and specialist appointments, self-refer to services.
 
 The workforce should be prioritised in this too. e-Rostering should be universal by this stage and staff in health and care should all have access to digital passports that enable them to move across organisational boundaries seamlessly.","Personalised care and inclusive service design",0.848
"1420","All External workshop form responses","All","Easy to access, streamlined, linear, efficient, connected, deduplicated","Personalised care and inclusive service design",0.691
"1421","All External workshop form responses","All","4. Support hybrid consultations (video/audio/messaging)","Personalised care and inclusive service design",0.402
"1422","All External workshop form responses","All","people will experience more timely and responsive access","Personalised care and inclusive service design",0.414
"1423","All External workshop form responses","All","Digital is inherent within our culture.
 Services are easily accessible digitally for those who want to interact digitally and have a preference for digital","Personalised care and inclusive service design",0.402
"1424","All External workshop form responses","All","Should be a seamless digital experience based on user needs / wants","Personalised care and inclusive service design",0
"1425","All External workshop form responses","All","I can access NHS services in the way that best suits me and/or my particular need, be this digital or physical. While I might need to retell my story for clinical reasons it isn't because my story is unavailable to the clinician or other professional I am interacting with including partner organisations such as charities who support my care and recovery.","Personalised care and inclusive service design",0.923
"1426","All External workshop form responses","All","Joined up - tell story once - patient/carers to have access to notes - easier hand over between different health teams and health and care teams - notes on special needs made more obvious, also circumstances (eg young carer, just left care system etc)","Personalised care and inclusive service design",0.934
"1427","All External workshop form responses","All","Multi-channel offering which works for everyone, and doesn't leave people behind - people are able to switch between online/'traditional' ways of accessing services with confidence, reflecting what they need and prefer at that time; efficiency savings through digital have come through because digital pathways have won people's confidence and support, and are experienced as positive choices.","Personalised care and inclusive service design",0.96
"1428","All External workshop form responses","All","A major part of the work we do at the National LGBT Partnership is around meaningful inclusion based on sexual orientation and gender identity. While digitisation can reduce the risk of in-person discrimination, there can still be the risk of service users being unsure of how to access care and support, or how to report any discrimination. This is particularly relevant for people who may be undergoing changes in their personal circumstances due to their identity, such as any of the following: (1) changing their name as part of the process of social transitioning and how this is reflected in care documents (already a major issue for in-person care); (2) changing gender markers and having their gender be respected, especially in light of increasing transphobia and misinformation; (3) lack of a permanent address if they have been kicked out of or have left home due to other occupants (family, housemates, etc.), and how to access care in temporary shelter/accommodation or without fixed address; (4) LGBTQ+ migrants, especially those seeking refuge and asylum, being unsure of rights, language, and access to healthcare, including the inbuilt obstacles related to digital and technological poverty.","Personalised care and inclusive service design",0.637
"1429","All External workshop form responses","All","For prison leavers entering the community there are a number of key challenges especially surrounding continuity of care and access to individual health records. As we know, often those in prison face multiple disadvantage and can suffer from a litany of health issues, including mental health and substance misuse issues. It is therefore essential for healthcare that has been accessed in prison to continue into the community which means improved information sharing practices and increased knowledge. This will hopefully be helped by the increase in digital inclusion and the further link up between all services including MOJ, HMPPS, DHSC and NHS etc. Given that NHS England will continue to run prison healthcare instead of ICSs, at least for the foreseeable future, there will be a need to ensure that there is constant communication between these bodies.","Personalised care and inclusive service design",-0.273
"1430","All External workshop form responses","All","Improved care coordination through different specialties through appropriate data sharing to provide a more holistic understanding of people's health needs. E.g. endocrinologist in contact with someone's orthopaedic surgeon for example, so the patient isn't always the carrier of that information and the workforce feel able to use that information to their advantage to provide better quality and more joined up care. Also a joined up approach to hospital discharge services between acute care and adult social care (provide by VCS organisations and/or local authorities). People waiting for elective care being supported to wait well through digital means and supported to access services such as My Planned Care with regular updates on how to stay well whilst waiting (including their mental health), how they are progressing towards treatment. Inclusion health groups (for British Red Cross this particularly includes vulnerable migrants but there is a lot of intersection between all of them) feel able to access the health and care system through digital means where they want to and feel able to but there are always alternative means of access offered (as Kellie said a multi-channel offering) and their concerns are listened to and heard. Specifically language barriers and issues around trust of using health system are addressed to facilitate this. People and communities are signposted to support, especially those experiencing inequalities. 
 
 The VCS sector will feel included in these plans through recognising the role they play in delivering health and care services and also supporting people who are falling through the gaps and supporting people outside of the health and care system. This role must be recognised in the plan.","Personalised care and inclusive service design",0.994
"1431","All External workshop form responses","All","Ultimately user-designed front ends that can present data agnostic to underlying system - would support staff moving between organisations either occasionally or regularly and reduce clinical risk of missing key information","Personalised care and inclusive service design",-0.153
"1432","All External workshop form responses","All","people will have to tell their story once","Personalised care and inclusive service design",0
"1433","All External workshop form responses","All","improved outcomes","Personalised care and inclusive service design",0.477
"1434","All External workshop form responses","All","joined up health and care support","Personalised care and inclusive service design",0.71
"1435","All External workshop form responses","All","stronger focus on prevention, self management and digital support with access to more intensive support in a timely manner if needed","Personalised care and inclusive service design",0.806
"1436","All External workshop form responses","All","#NAME?","Personalised care and inclusive service design",0
"1437","All External workshop form responses","All","Important to make sure digital inclusion is in place. Infrastructure needs to be improved and to be working smoothly. Need to engage with staff to make sure this change is not overwhelming for staff.","Personalised care and inclusive service design",0.872
"1438","All External workshop form responses","All","#NAME?","Personalised care and inclusive service design",0
"1439","All External workshop form responses","All","#NAME?","Personalised care and inclusive service design",0
"1440","All External workshop form responses","All","Ensure health inequalities are addressed incl wider determinants approach ie systems, access, skills to use; simplicity of messages to patients and service users; social care and NHS systems talk to each other and patients/ SUs/ carers have easy but safe access to records; patient stories of how digital transformation has enabled a better life; co-design WITH users as standard part of NHS/SC culture","Personalised care and inclusive service design",0.911
"1441","All External workshop form responses","All","Research evidence, co-production with patient groups, piloting, research/ evaluation","Personalised care and inclusive service design",0
"1442","All External workshop form responses","All","re focus away from the technologies back to the clinical pathways and see where we can have a qualitative impact on both the experience of services from a patient perspective and streamlining from a clinical perspective
 

 
","Personalised care and inclusive service design",0
"1443","All External workshop form responses","All","

 5. Digital inclusion/exclusion must be considered and funded.","Personalised care and inclusive service design",0
"1444","All External workshop form responses","All","Easy - to-use digital systems that connect within NHS and social care (not multiple different platforms!) Also easy to use digital access for patients/carers/families with face 2 face support for those who have support needs or are digitally excluded.
 Digital enablement is essential or this will widen health inequalities","Personalised care and inclusive service design",0.906
"1445","All External workshop form responses","All","The best practice in order to deliver this is coproducing guidance through centring the needs of impacted communities. It is especially vital that the relevant communities are uplifted, as we have seen several instances where generic/open consultations get derailed through misinformation and fear from members who are not part of the impacted demographics. The different members of the HWA can support this.","Personalised care and inclusive service design",0.36
"1446","All External workshop form responses","All","Navigation, advocacy, self-advocacy support through the system to ensure people get the right support for them and understand how to access support



","Personalised care and inclusive service design",0.866
"1447","All External workshop form responses","All","Ensuring that underserved communities are reached","Personalised care and inclusive service design",0.361
"1448","All External workshop form responses","All","#NAME?","Personalised care and inclusive service design",0
"1449","All External workshop form responses","All","How could this be linked in with personal budgets, and the management of them which will be increasing once charging reform comes into play.","Personalised care and inclusive service design",0.34
"1450","All External workshop form responses","All","Safeguarding gap - risk of missing safeguarding opportunities through reduction in face-to-face contact, for example an abuser completing a form on behalf of someone and missing chance to spot issues or unusual behaviour","Personalised care and inclusive service design",-0.318
"1451","Personalised Care Group Session Responses - Strategic Co-Production Group","All","Patient choice, flexibility and control, suite of apps, pick and mix them, interoperability, ability to switch between online and other options, knowledge of who has access to each app","Personalised care and inclusive service design",0.572
"1452","Personalised Care Group Session Responses - Strategic Co-Production Group","All","Health literacy and shared decision making, advanced patient information to remove stress and get the most out of appointments (empowerment)","Personalised care and inclusive service design",0.153
"1453","Personalised Care Group Session Responses - Strategic Co-Production Group","All","Empowering the patient but providing the patient with all the tools","Personalised care and inclusive service design",0
"1454","Personalised Care Group Session Responses - End of Life","All","That the conversation effectively covers shared decision making and informed choice “all of what matters to me” shared with all the right people and the right time, when I want to share it. It needs to go into the what ifs, to plan for what if things don’t go according to plan. That the plan is digested, informed and acted upon by all relevant professionals. That there is a level of accountability.","Personalised care and inclusive service design",0.852
"1455","Personalised Care Group Session Responses - End of Life","All","So the NHS have a copy of your plan but you’ve developed it, you own it, you can change it, it’s your plan that you are sharing with us, and you might also share it with other statutory and community services.","Personalised care and inclusive service design",0.758
"1456","Personalised Care Group Session Responses - Internal Teams","All","We understand people better - whole picture of people’s whole lives – only 20% of health outcomes are determined by clinical care – and we can use this information to support people in a more personalised way – and focus resources on the people who need it most.","Personalised care and inclusive service design",0.881
"1457","Personalised Care Group Session Responses - Internal Teams","All","Information is presented in a way that is meaningful to people and is personalised based on their knowledge, skills and confidence and behaviour change is embedded into pathways","Personalised care and inclusive service design",0.681
"1458","Personalised Care Group Session Responses - Internal Teams","All","People understand what support is out there, their options and can make an informed choice","Personalised care and inclusive service design",0.402
"1459","Personalised Care Group Session Responses - Internal Teams","All","We may it easier for clinicians to provide care in a more personalised way","Personalised care and inclusive service design",0.718
"1460","Personalised Care Group Session Responses - Internal Teams","All","People are knowledgeable about their options, their expectations are raised and they feel empowered to get the care and support that is right for them","Personalised care and inclusive service design",0.71
"1461","Personalised Care Group Session Responses - Internal Teams","All","We break down some of the barriers between health care professionals and people and HCPs see the person – not the condition – and people understand the range of HCP roles and are confident they are seeing the right person and in the approach","Personalised care and inclusive service design",0.751
"1462","Personalised Care Group Session Responses - Internal Teams","All","We make best use of resources available understanding how needs what support and better targeting support at those that need it the most whilst still providing a level of support for others e.g. for people who are more activated/confident.","Personalised care and inclusive service design",0.935
"1463","Personalised Care Group Session Responses - Internal Teams","All","It is simple to get and manage a personal health budget. People understand their options and can effectively use a PHB to better manage their health care and support.","Personalised care and inclusive service design",0.893
"1464","Personalised Care Group Session Responses - Internal Teams","All","We empower people to make their own decisions and find their own solutions","Personalised care and inclusive service design",0.178
"1465","Personalised Care Group Session Responses - Internal Teams","All","Find peer support groups or find a buddy with the same condition as you for mutual support (a bit like online dating!)","Personalised care and inclusive service design",0.802
"1466","Personalised Care Group Session Responses - Internal Teams","All","Book, cancel or amend hospital transport. Be able to track where your hospital transport is. Be able to message the hospital transport service to let them know when you are ready to be collected to go home and where you are in the hospital.","Personalised care and inclusive service design",0.128
"1467","Personalised Care Group Session Responses - Internal Teams","All","For planned surgery, be able to choose and book re – hab and rehab services in advance.","Personalised care and inclusive service design",0
"1468","Personalised Care Group Session Responses - NHS@home","All","Data will be meaningful, it will be about the person. People will go beyond capturing than data ‘about me’ but include people’s preferences and feedback on their health and social care, their current environmental situation, their families and children’s healthcare.","Personalised care and inclusive service design",0.714
"1469","Personalised Care Group Session Responses - NHS@home","All","I think in 10 years’ time we would want to have all the integrations in place so that people can access all their personalised care information that from the NHS app, one login and then be able to click and link through to all their self-management information, videos, courses etc PCSPs, any information signposted to through social prescribing saved in the app, ability to message link worker, HWBC, Care Coordinator through the app etc. Link straight through to the e-referral system to book appointments and be offered choice of provider as well as choice of telephone / video appointments.","Personalised care and inclusive service design",0.93
"1470","Personalised Care Group Session Responses - NHS@home","All","I think they’ll be almost like a unionisation of groups that have got particular conditions, you kind of see that with support groups but there's no barriers there, so I think you know it's a bit of a challenge to the system by default stuff and the choice agenda, so I think we just need to work that through you know really active community groups that are lobbying for particular standards of care.","Personalised care and inclusive service design",0.838
"1471","Personalised Care Group Session Responses - NHS@home","All","We’re beginning to see this already, you’ll see groups with particular conditions online and forums. I think we can expect to see that kind of level up and those groups become more effective at lobbying and setting their own standards because they'll be better information out there. They'll be better informed, so they’ll be a bit of tension there between the system by default stuff, that allows local flexibility, but actually if I've got a particular condition that my friend who somewhere else in the country is getting better service, I will want that better service, and I may be able to get access to it digitally.","Personalised care and inclusive service design",0.954
"1472","Personalised Care Group Session Responses - NHS@home","All","Input into their SCR which reflects their needs and preferences as a person which will encompass all of their life which cover have needs around that housing their care and responsibilities, their children education. Being able to capture and share holistic information about an individual’s whole life.","Personalised care and inclusive service design",0.66
"1473","Personalised Care Group Session Responses - Industry Feedback","All","Everyone could benefit from a personalised health and wellbeing plan that could be generated from people’s records and further updated/personalised with their own information. This could be done at a national level and then triaged/risk assessed for local interventions as appropriate.","Personalised care and inclusive service design",0.459
"1474","Personalised Care Group Session Responses - Industry Feedback","All","An online “concierge service” linked to social care / social prescribing “So when Mum's boiler goes wrong, she could request online or via phone a concierge service that links to the volunteers in the area who can help her out”","Personalised care and inclusive service design",0.421
"1475","Personalised Care Group Session Responses - Industry Feedback","All","Or other proactive questions e.g. for mental health – have explored this with Lambeth – ask questions of the individuals around quality of life and mental health (and medication) that then triggers mental health, social care, VCS and social prescribing support or medicine review with community pharmacist. Collect the data and trigger the intervention. Link it to health apps. “ You’ve got diabetes here are the apps we recommend to manage your condition”; remote monitoring of patient and then use of aggregated data to predict development of long term conditions, multimorbidity's etc.","Personalised care and inclusive service design",0.881
"1476","Personalised Care Group Session Responses - Industry Feedback","All","Care plans cover all relevant conditions / needs and are not separate.","Personalised care and inclusive service design",0.494
"1477","Personalised Care Group Session Responses - Industry Feedback","All","Support everyone to have a care plan whether they have a condition or not. Empower people to set up care groups that includes their families and friends. Can include safe guards that flags the level of digital that will work for the individual e.g. needs SMS not app, needs phone call; this person enters their step count, for that person the app picks up on their wearable.","Personalised care and inclusive service design",0.934
"1478","Personalised Care Group Session Responses - Industry Feedback","All","A personalised budget single market place that everyone can interact with – approved list of regulated suppliers.","Personalised care and inclusive service design",0.421
"1479","Personalised Care Group Session Responses - Industry Feedback","All","Care banking have worked on solutions around this. For example is a customer facing platform “I have a virtual bank account, I can think about what I need and see what is available, for example if I want a nurse on certain days – I can choose from a profile of nurses available and its booked and ordered – then all I have to do is say it happened and they get paid. Facilitated and paid by relevant stakeholders but owned essentially by the individuals.","Personalised care and inclusive service design",0.485
"1480","Personalised Care Group Session Responses - Industry Feedback","All","Loneliness is one of the major drivers behind personalised budgets – need to develop solutions that helps to connect people e.g. in France you can hire someone to come and talk to you about their life “social stories”; care banking have developed a prototype for this that they’d like to test.","Personalised care and inclusive service design",0.735
"1481","Personalised Care Group Session Responses - Industry Feedback","All","People will be interacting with their medical and social care records as living documents, it will be forward looking and be interactive. It will describe the interventions that are appropriate and may (or have) been suggested to them and whether they have taken them up. These might be a variety of clinical and non-clinical healthcare goals, combined with the persons values, including their future intention to pursue them.","Personalised care and inclusive service design",0.71
"1482","Personalised Care Group Session Responses - Industry Feedback","All","This is Matt and these are his values and what matters to him, his concerns. Their goal is to live independently in Hendon, in their current house for the next five years. The information given (with the person's permission), is much more of a biographical snapshot as well.","Personalised care and inclusive service design",0.599
"1483","Personalised Care Group Session Responses - Industry Feedback","All","Working with patients to agree a health strategy using choice to establish the best course of treatment/lifestyle changes","Personalised care and inclusive service design",0.772
"1484","Personalised Care Group Session Responses - Industry Feedback","All","Encouraging patients to complete survey to establish a Wellness score which encourages people to do as much as possible for their health.  Using reminders and annual health check-up's to monitor patient care","Personalised care and inclusive service design",0.908
"1485","Personalised Care Group Session Responses - Industry Feedback","All","Personalised support for people with long term conditions, using clinical management and patient choice in an engaging and proactive way.","Personalised care and inclusive service design",0.785
"1486","Personalised Care Group Session Responses - Industry Feedback","All","Creating a personalised health journey, using a combined approach is to manage health and social care, this may reduce demands on both GP and nurse led services","Personalised care and inclusive service design",0.66
"1487","Personalised Care Group Session Responses - Industry Feedback","All","Digitalised neonatal services for pregnant women, where they can submit information throughout their pregnancy","Personalised care and inclusive service design",0
"1488","Personalised Care Group Session Responses - Industry Feedback","All","In terms of antenatal care, allowing women to indicate to the trust the kind of care that she wants to have; even before she's booked with the trust.","Personalised care and inclusive service design",0.914
"1489","Personalised Care Group Session Responses - Industry Feedback","All","Build like a an ecosystem of support, which basically has entry points at where people might be at those moments where they can really benefit from some personalised care, that includes job centres and existing community based organizations.","Personalised care and inclusive service design",0.893
"1490","Personalised Care Group Session Responses - Industry Feedback","All","Information in the app around why it's important to stop smoking and the opportunities you have and the services we can offer you.","Personalised care and inclusive service design",0.296
"1491","Personalised Care Group Session Responses - Industry Feedback","All","Patients to take responsibility of their healthcare and be self-empowered.","Personalised care and inclusive service design",0
"1492","Personalised Care Group Session Responses - Industry Feedback","All","Enusure that the digitalised system does not feel like it is taking away peoples liberties.","Personalised care and inclusive service design",0.294
"1493","Personalised Care Group Session Responses - Industry Feedback","All","Implementing a programme that can show patient appointments, so there are no clashes.","Personalised care and inclusive service design",-0.354
"1494","Personalised Care Group Session Responses - DHCP PC Internal engagement MCP and components","All","The platform of a digitised, interoperable, connected health and care system to deliver services more effectively and productively, and with the citizen at the centre.","Personalised care and inclusive service design",0.75
"1495","Personalised Care Group Session Responses - DHCP PC Internal engagement MCP and components","All","75% of adults will be registered for the NHS App by 2024 to access records, book appointments and order prescriptions","Personalised care and inclusive service design",0
"1496","Personalised Care Group Session Responses - C4PC","All","A digital care support plan, a single process with all systems updated in one place","Personalised care and inclusive service design",0.71
